,saleprice,sqfttotliving,yrbuilt,yrrenovated,bedrooms,zipcode,sqfttotbasement,sqftfinbasement,sqftopenporch,sqftenclosedporch,sqftdeck,heatsystem,bathhalfcount,bath3qtrcount,bathfullcount,condition,sqftgarageattached,bldggrade,finbasementgrade,inadequateparking,township,trafficnoise
87,390000,1940,2007,0,3,98042,0,0,100,0,0,5,1,1,1,3,400,7,0,0,21,0
88,600000,1300,1984,0,3,98045,0,0,130,0,80,5,1,1,1,3,520,8,0,2,23,0
89,490000,1620,1947,0,3,98028,810,720,120,0,0,5,1,0,1,3,0,6,6,2,26,1
90,397000,1410,1962,0,4,98023,0,0,0,0,0,5,0,0,2,5,260,6,0,2,21,0
91,650000,2560,1990,0,3,98059,0,0,0,0,0,7,1,0,2,3,640,8,0,0,23,0
92,396000,1390,1974,0,4,98003,0,0,0,0,0,5,0,1,1,4,310,7,0,2,21,0
93,1152000,1880,1924,0,4,98105,1040,0,0,0,0,5,1,1,1,5,0,7,0,2,25,0
94,435000,2160,1977,0,4,98045,0,0,0,0,60,5,1,0,1,4,0,7,0,2,23,0
95,175000,580,1926,0,1,98288,0,0,0,50,0,1,0,0,1,3,0,5,0,2,26,0
97,450000,1660,1974,0,3,98058,0,0,0,0,440,5,1,1,1,4,460,7,0,2,23,0
98,350000,1130,1943,2019,3,98118,0,0,0,0,0,1,0,1,1,3,0,6,0,2,24,0
99,1300000,1200,1952,0,3,98039,0,0,210,0,0,5,1,0,1,3,450,7,0,2,25,1
100,406000,2100,2008,0,3,98002,0,0,90,0,0,5,1,2,0,3,420,7,0,0,22,0
101,465000,1850,1968,0,3,98198,1250,600,0,0,260,5,1,1,1,3,0,7,6,0,22,0
102,629990,2470,1998,0,4,98092,0,0,0,0,900,5,1,1,2,4,810,9,0,2,21,0
103,605000,2400,1958,0,6,98178,1200,1200,0,0,0,5,0,0,2,4,0,7,6,2,23,0
104,1410000,2990,1927,0,4,98109,1160,960,0,0,0,5,0,1,2,5,0,9,9,2,25,0
105,380000,1620,1968,0,3,98002,0,0,0,0,0,5,0,1,1,4,480,7,0,2,21,0
106,333250,990,1941,0,2,98055,880,0,0,0,0,5,0,0,1,3,0,6,0,0,23,0
107,599000,2640,1978,0,4,98070,1320,1320,0,0,130,5,0,1,2,4,460,8,7,2,23,0
109,425000,1840,1968,0,5,98092,0,0,0,0,0,5,0,0,2,5,240,7,0,2,21,0
110,507750,1030,1943,0,3,98166,0,0,70,0,300,5,1,0,1,5,380,6,0,2,23,0
111,552000,1750,1963,0,4,98133,1140,570,0,0,230,5,0,1,2,3,0,8,8,0,26,0
112,749000,1690,2017,0,3,98106,540,90,50,0,0,5,1,0,2,3,0,9,7,2,24,0
113,880000,2860,1988,0,4,98027,0,0,0,0,550,5,1,0,2,4,770,9,0,0,23,0
114,415000,1600,1979,0,3,98031,1010,520,0,0,100,5,0,1,1,3,0,7,6,2,22,0
115,924950,1370,1928,0,5,98115,830,180,50,0,200,5,0,1,1,3,0,7,6,0,26,0
116,749000,2840,1951,1993,3,98166,940,940,0,0,0,5,1,0,2,3,0,8,7,0,23,0
117,850000,3080,2006,0,5,98072,0,0,50,0,0,5,0,0,3,3,740,9,0,2,26,0
118,775000,2650,1990,0,4,98042,0,0,0,0,60,5,0,1,2,3,460,9,0,0,21,0
119,330000,1780,1974,0,3,98022,0,0,0,150,0,5,0,0,1,3,440,7,0,2,20,3
120,732500,3870,1994,0,4,98038,1270,1270,0,0,580,5,1,0,2,3,720,9,8,0,22,0
121,450000,1160,1943,1982,3,98178,250,0,0,0,230,5,0,1,1,3,0,7,0,0,23,0
122,1396000,4430,1996,0,4,98077,0,0,0,0,200,5,1,0,3,3,940,9,0,2,26,0
123,900000,2120,1926,0,3,98115,860,860,0,0,0,5,0,1,1,5,0,7,6,2,25,0
124,342000,1120,1949,0,3,98118,0,0,0,0,280,4,0,0,1,3,0,7,0,2,24,0
125,355000,1010,1953,0,3,98118,0,0,0,0,0,5,0,0,1,3,0,7,0,2,24,0
126,483650,1480,1968,0,3,98059,0,0,0,0,0,5,0,1,1,5,290,6,0,0,23,0
127,464000,1540,1994,0,3,98038,0,0,55,0,0,5,1,1,1,4,810,7,0,0,22,0
